Date,Junctions Cut,NORTHERN,CENTRAL,NEW ZEALAND,SOUTH AUSTRALIA,SOUTHERN,WESTERN
14/03/2011,15.80246154,1,11.80246154,0,0,0,3
15/03/2011,48.80246154,23,12.80246154,0,0,5,8
16/03/2011,29,6,6,3,0,14,0
17/03/2011,22,9,6,0,0,7,0
18/03/2011,24,0,8,0,0,16,0
19/03/2011,0,0,0,0,0,0,0
20/03/2011,0,0,0,0,0,0,0
21/03/2011,18,0,8,0,0,10,0
22/03/2011,21,2,9,0,0,10,0
23/03/2011,51,8,12,0,0,31,0
24/03/2011,26,3,6,0,0,17,0
25/03/2011,43,8,15,0,0,20,0
26/03/2011,25,0,14,0,0,11,0
27/03/2011,0,0,0,0,0,0,0
28/03/2011,22,0,16,0,0,6,0
29/03/2011,24,0,19,0,0,5,0
30/03/2011,24,0,16,0,0,8,0
31/03/2011,28,1,24,0,0,3,0
1/04/2011,28,1,11,0,0,16,0
2/04/2011,0,0,0,0,0,0,0
3/04/2011,0,0,0,0,0,0,0
4/04/2011,20,3,12,0,0,5,0
5/04/2011,24,0,6,0,0,8,10
6/04/2011,42.16511111,1,22.16511111,0,0,16,3
7/04/2011,17.90123077,1,9.901230769,0,0,7,0
8/04/2011,34,0,5,0,0,24,5
9/04/2011,26,0,6,0,0,19,1
10/04/2011,0,0,0,0,0,0,0
11/04/2011,49,0,1,0,0,46,2
12/04/2011,29,0,13,0,6,4,6
13/04/2011,56,0,27,0,4,19,6
14/04/2011,42,0,13,0,7,19,3
15/04/2011,36,0,7,0,5,21,3
16/04/2011,8,2,0,0,6,0,0
17/04/2011,1,0,0,0,0,1,0
18/04/2011,44,2,13,3,0,24,2
19/04/2011,37,0,12,0,0,24,1
20/04/2011,26,0,8,3,0,15,0
21/04/2011,11,0,0,0,0,6,5
22/04/2011,0,0,0,0,0,0,0
23/04/2011,0,0,0,0,0,0,0
24/04/2011,0,0,0,0,0,0,0
25/04/2011,0,0,0,0,0,0,0
26/04/2011,0,0,0,0,0,0,0
27/04/2011,26,0,0,1,0,14,11
28/04/2011,27,6,2,0,0,15,4
29/04/2011,41,4,4,0,0,26,7
30/04/2011,5,2,3,0,0,0,0
1/05/2011,16,0,0,0,0,16,0
2/05/2011,20,0,4,0,6,10,0
3/05/2011,60,3,4,1,10,36,6
4/05/2011,25,0,5,1,8,10,1
5/05/2011,30,0,4,0,3,21,2
6/05/2011,33,0,9,0,1,23,0
7/05/2011,25,0,6,2,1,16,0
8/05/2011,0,0,0,0,0,0,0
9/05/2011,69,0,1,0,24,41,3
10/05/2011,26,0,3,0,0,17,6
11/05/2011,47,0,9,0,16,15,7
12/05/2011,26,0,4,0,3,10,9
13/05/2011,47,4,13,0,6,17,7
14/05/2011,5,0,4,0,1,0,0
15/05/2011,0,0,0,0,0,0,0
16/05/2011,38,4,8,0,0,20,6
17/05/2011,53,0,5,12,0,28,8
18/05/2011,53,14,0,8,3,28,0
19/05/2011,51.95061538,0,2.950615385,8,1,25,15
20/05/2011,31.95061538,0,6.950615385,0,0,25,0
21/05/2011,6,0,0,0,0,6,0
22/05/2011,0,0,0,0,0,0,0
23/05/2011,32,0,2,0,0,26,4
24/05/2011,33,0,0,5,0,18,10
25/05/2011,30,4,0,5,0,16,5
26/05/2011,35,0,0,10,0,22,3
27/05/2011,34,1,0,2,2,16,13
28/05/2011,16,0,3,8,5,0,0
29/05/2011,9,0,0,0,0,9,0
30/05/2011,39,0,2,14,1,16,6
31/05/2011,49,0,9,11,2,19,8
1/06/2011,22,0,1,4,7,10,0
2/06/2011,13,0,3,7,0,3,0
3/06/2011,27,0,15,3,0,9,0
4/06/2011,19,0,12,0,2,5,0
5/06/2011,0,0,0,0,0,0,0
6/06/2011,23,4,3,0,0,16,0
7/06/2011,36,0,7,0,8,21,0
8/06/2011,48,2,5,0,6,35,0
9/06/2011,61,0,7,7,7,40,0
10/06/2011,18,0,2,3,2,11,0
11/06/2011,0,0,0,0,0,0,0
12/06/2011,0,0,0,0,0,0,0
13/06/2011,3,0,0,0,3,0,0
14/06/2011,39,2,0,0,0,37,0
15/06/2011,20,2,0,0,0,18,0
16/06/2011,25,2,2,0,0,21,0
17/06/2011,38,8,2,0,0,19,9
18/06/2011,1,0,0,0,0,1,0
19/06/2011,0,0,0,0,0,0,0
20/06/2011,31,8,1,0,0,22,0
21/06/2011,26,0,0,0,2,24,0
22/06/2011,34,8,5,0,0,11,10
23/06/2011,49.1178906,14,14.1178906,0,0,21,0
24/06/2011,54.53208889,8,13.53208889,3,5,25,0
25/06/2011,17,0,0,0,5,0,12
26/06/2011,0,0,0,0,0,0,0
27/06/2011,40,10,6,0,10,12,2
28/06/2011,58,8,7,0,11,20,12
29/06/2011,30,0,3,0,10,11,6
30/06/2011,33,0,4,0,3,26,0
