Date,Junctions Cut,NORTHERN,CENTRAL,NEW ZEALAND,SOUTH AUSTRALIA,SOUTHERN,WESTERN
27/11/2009,25,4,1,0,0,20,0
28/11/2009,6,0,6,0,0,0,0
29/11/2009,0,0,0,0,0,0,0
30/11/2009,8,3,1,0,0,4,0
1/12/2009,17,4,6,0,0,7,0
2/12/2009,20,6,1,0,0,13,0
3/12/2009,28,8,1,0,0,19,0
4/12/2009,28,12,0,0,0,16,0
5/12/2009,4,4,0,0,0,0,0
6/12/2009,0,0,0,0,0,0,0
7/12/2009,15,4,0,0,0,11,0
8/12/2009,13,5,8,0,0,0,0
9/12/2009,32,6,13,0,0,13,0
10/12/2009,47,25,0,0,0,22,0
11/12/2009,49,30,0,0,0,19,0
12/12/2009,16,10,6,0,0,0,0
13/12/2009,1,0,1,0,0,0,0
14/12/2009,25,6,0,0,0,19,0
15/12/2009,34,5,9,5,0,15,0
16/12/2009,18,4,0,0,0,14,0
17/12/2009,20,7,0,4,0,9,0
18/12/2009,16,9,0,0,0,7,0
19/12/2009,24,2,0,0,0,22,0
20/12/2009,0,0,0,0,0,0,0
21/12/2009,15,0,0,0,0,15,0
22/12/2009,8,0,0,0,0,8,0
23/12/2009,0,0,0,0,0,0,0
24/12/2009,0,0,0,0,0,0,0
25/12/2009,0,0,0,0,0,0,0
26/12/2009,0,0,0,0,0,0,0
27/12/2009,0,0,0,0,0,0,0
28/12/2009,0,0,0,0,0,0,0
29/12/2009,0,0,0,0,0,0,0
30/12/2009,0,0,0,0,0,0,0
31/12/2009,0,0,0,0,0,0,0
1/01/2010,0,0,0,0,0,0,0
2/01/2010,0,0,0,0,0,0,0
3/01/2010,0,0,0,0,0,0,0
4/01/2010,0,0,0,0,0,0,0
5/01/2010,0,0,0,0,0,0,0
6/01/2010,0,0,0,0,0,0,0
7/01/2010,0,0,0,0,0,0,0
8/01/2010,0,0,0,0,0,0,0
9/01/2010,0,0,0,0,0,0,0
10/01/2010,0,0,0,0,0,0,0
11/01/2010,0,0,0,0,0,0,0
12/01/2010,0,0,0,0,0,0,0
13/01/2010,0,0,0,0,0,0,0
14/01/2010,0,0,0,0,0,0,0
15/01/2010,0,0,0,0,0,0,0
16/01/2010,6,0,6,0,0,0,0
17/01/2010,0,0,0,0,0,0,0
18/01/2010,5,0,0,5,0,0,0
19/01/2010,12,0,0,1,0,11,0
20/01/2010,13,0,0,1,0,12,0
21/01/2010,9,0,0,0,0,9,0
22/01/2010,21,0,0,0,0,21,0
23/01/2010,1,0,0,1,0,0,0
24/01/2010,0,0,0,0,0,0,0
25/01/2010,11,0,0,0,0,11,0
26/01/2010,0,0,0,0,0,0,0
27/01/2010,36,0,0,0,0,36,0
28/01/2010,14,4,1,0,0,9,0
29/01/2010,32,9,7,0,0,16,0
30/01/2010,31,6,10,0,0,15,0
31/01/2010,0,0,0,0,0,0,0
1/02/2010,22,1,14,0,0,7,0
2/02/2010,23,13,0,0,0,10,0
3/02/2010,64,12,23,0,0,29,0
4/02/2010,42,7,22,3,0,10,0
5/02/2010,40,10,12,6,0,12,0
6/02/2010,0,0,0,0,0,0,0
7/02/2010,0,0,0,0,0,0,0
8/02/2010,42,4,19,5,0,14,0
9/02/2010,29,7,7,2,0,13,0
10/02/2010,44,7,9,3,0,25,0
11/02/2010,32,11,6,1,0,14,0
12/02/2010,35,9,12,0,0,14,0
13/02/2010,15,5,3,0,0,7,0
14/02/2010,0,0,0,0,0,0,0
15/02/2010,24,10,4,0,0,10,0
16/02/2010,25,8,3,0,0,14,0
17/02/2010,39,1,4,2,0,32,0
18/02/2010,9,0,2,0,0,7,0
19/02/2010,18,3,10,0,0,5,0
20/02/2010,0,0,0,0,0,0,0
21/02/2010,2,0,2,0,0,0,0
22/02/2010,35,0,10,0,0,25,0
23/02/2010,15,3,9,0,0,3,0
24/02/2010,24,4,10,2,0,8,0
25/02/2010,10,3,4,0,0,3,0
26/02/2010,27,4,5,0,0,18,0
27/02/2010,24,1,10,0,0,13,0
28/02/2010,0,0,0,0,0,0,0
1/03/2010,12,2,4,0,0,6,0
2/03/2010,21,0,13,0,0,8,0
3/03/2010,20,11,0,0,0,9,0
4/03/2010,33,8,17,0,0,8,0
5/03/2010,33,4,12,0,0,17,0
6/03/2010,3,0,3,0,0,0,0
7/03/2010,0,0,0,0,0,0,0
8/03/2010,6,1,4,1,0,0,0
9/03/2010,29,6,0,6,0,17,0
10/03/2010,31,6,2,0,17,6,0
11/03/2010,26,1,0,0,12,13,0
12/03/2010,25,4,4,0,0,17,0
13/03/2010,21,0,3,0,0,18,0
14/03/2010,0,0,0,0,0,0,0
15/03/2010,14,0,6,0,0,8,0
16/03/2010,18,1,7,0,5,5,0
17/03/2010,35,0,8,0,12,15,0
18/03/2010,27,2,1,0,7,17,0
19/03/2010,22,0,5,0,6,11,0
20/03/2010,10,0,0,0,10,0,0
21/03/2010,0,0,0,0,0,0,0
22/03/2010,34,0,2,0,16,16,0
23/03/2010,49,14,5,0,5,25,0
24/03/2010,62,11,4,0,16,31,0
25/03/2010,44,5,4,0,9,26,0
26/03/2010,21,5,0,0,5,11,0
27/03/2010,24,1,9,0,1,13,0
28/03/2010,0,0,0,0,0,0,0
29/03/2010,21,5,7,0,0,9,0
30/03/2010,38,10,4,0,0,24,0
31/03/2010,20,0,3,0,0,17,0
1/04/2010,34,12,5,0,0,17,0
2/04/2010,0,0,0,0,0,0,0
3/04/2010,0,0,0,0,0,0,0
4/04/2010,0,0,0,0,0,0,0
5/04/2010,10,0,0,0,0,10,0
6/04/2010,38,23,3,0,0,12,0
7/04/2010,29,2,7,0,0,20,0
8/04/2010,39,9,7,0,0,23,0
9/04/2010,24,3,7,0,0,14,0
10/04/2010,20,1,3,4,0,12,0
11/04/2010,0,0,0,0,0,0,0
12/04/2010,24,3,4,0,0,17,0
13/04/2010,31,4,3,6,0,18,0
14/04/2010,19,0,1,6,0,12,0
15/04/2010,32,4,6,3,0,19,0
16/04/2010,34,8,7,4,0,15,0
17/04/2010,24,0,5,16,0,3,0
18/04/2010,4,0,0,0,0,4,0
19/04/2010,40,1,15,3,0,21,0
20/04/2010,27,3,12,2,4,6,0
21/04/2010,23,0,12,2,3,6,0
22/04/2010,34,0,7,0,4,23,0
23/04/2010,21,2,7,0,6,6,0
24/04/2010,0,0,0,0,0,0,0
25/04/2010,0,0,0,0,0,0,0
26/04/2010,3,3,0,0,0,0,0
27/04/2010,32,4,3,6,0,19,0
28/04/2010,36,6,0,3,0,27,0
29/04/2010,45,1,9,6,6,23,0
30/04/2010,21,0,9,2,2,8,0
1/05/2010,14,1,5,2,6,0,0
2/05/2010,3,0,0,0,0,3,0
3/05/2010,74,6,20,4,10,34,0
4/05/2010,41,5,3,0,3,30,0
5/05/2010,70,6,14,7,10,33,0
6/05/2010,58,8,11,5,9,25,0
7/05/2010,39,5,7,5,1,21,0
8/05/2010,30,8,7,0,7,8,0
9/05/2010,7,0,4,0,0,3,0
10/05/2010,25,8,3,5,1,8,0
11/05/2010,40,9,11,3,1,16,0
12/05/2010,35,8,4,4,0,19,0
13/05/2010,40,9,7,1,0,23,0
14/05/2010,20,0,2,0,0,18,0
15/05/2010,8,0,4,0,4,0,0
16/05/2010,3,0,3,0,0,0,0
17/05/2010,24,0,0,0,0,24,0
18/05/2010,25,0,2,0,2,21,0
19/05/2010,35,0,8,5,3,19,0
20/05/2010,50,0,4,7,0,39,0
